#family	upstream	reference	target
ClassTagParam	com.badlogic.gdx.assets.AssetManager#getAll	def getAll[$0: ClassTag]	
ClassTagParam	com.badlogic.gdx.scenes.scene2d.actions.Actions#action	def action[$0 <: Action: ClassTag]	
ClassTagParam	com.badlogic.gdx.scenes.scene2d.actions.Actions#registerAction	def registerAction[$0 <: Action: ClassTag]	
ClassTagParam	com.badlogic.gdx.utils.PoolManager#addPool(Class,Pool)	def addPool[$0: ClassTag]	
ClassTagParam	com.badlogic.gdx.utils.PoolManager#addPool(Class,PoolSupplier)	def addPool[$0: ClassTag]	
ClassTagParam	com.badlogic.gdx.utils.PoolManager#obtain	def obtain[$0: ClassTag]	
ClassTagParam	com.badlogic.gdx.utils.PoolManager#obtainOrNull	def obtainOrNull[$0: ClassTag]	
FieldName	com.badlogic.gdx.graphics.GLTexture#magFilter:field	var _magFilter	_magFilter
FieldName	com.badlogic.gdx.graphics.GLTexture#minFilter:field	var _minFilter	_minFilter
FieldName	com.badlogic.gdx.graphics.GLTexture#uWrap:field	var _uWrap	_uWrap
FieldName	com.badlogic.gdx.graphics.GLTexture#vWrap:field	var _vWrap	_vWrap
FieldName	com.badlogic.gdx.graphics.g2d.Sprite#vertices:field	val _vertices	_vertices
FieldName	com.badlogic.gdx.graphics.g3d.decals.Decal#vertices:field	var _vertices	_vertices
FieldName	com.badlogic.gdx.graphics.g3d.model.Node#parent:field	var _parent	_parent
FieldName	com.badlogic.gdx.graphics.g3d.particles.ParticleController#boundingBox:field	var _boundingBox	_boundingBox
FieldName	com.badlogic.gdx.graphics.g3d.particles.batches.BillboardParticleBatch#blendingAttribute:field	var _blendingAttribute	_blendingAttribute
FieldName	com.badlogic.gdx.graphics.g3d.particles.batches.BillboardParticleBatch#depthTestAttribute:field	var _depthTestAttribute	_depthTestAttribute
FieldName	com.badlogic.gdx.graphics.g3d.particles.batches.BillboardParticleBatch#mode:field	var _mode	_mode
FieldName	com.badlogic.gdx.graphics.g3d.particles.batches.BillboardParticleBatch#texture:field	var _texture	_texture
FieldName	com.badlogic.gdx.graphics.g3d.particles.batches.BillboardParticleBatch#useGPU:field	var _useGPU	_useGPU
FieldName	com.badlogic.gdx.graphics.g3d.particles.batches.BufferedParticleBatch#camera:field	var _camera	_camera
FieldName	com.badlogic.gdx.graphics.g3d.particles.batches.BufferedParticleBatch#sorter:field	var _sorter	_sorter
FieldName	com.badlogic.gdx.graphics.g3d.particles.batches.PointSpriteParticleBatch#blendingAttribute:field	var _blendingAttribute	_blendingAttribute
FieldName	com.badlogic.gdx.graphics.g3d.particles.batches.PointSpriteParticleBatch#depthTestAttribute:field	var _depthTestAttribute	_depthTestAttribute
FieldName	com.badlogic.gdx.graphics.g3d.particles.values.ParticleValue#active:field	var _active	_active
FieldName	com.badlogic.gdx.graphics.g3d.utils.MeshBuilder#attributes:field	var _attributes	_attributes
FieldName	com.badlogic.gdx.graphics.g3d.utils.MeshBuilder#primitiveType:field	var _primitiveType	_primitiveType
FieldName	com.badlogic.gdx.graphics.glutils.GLFrameBuffer#textureAttachments:field	val _textureAttachments	_textureAttachments
FieldName	com.badlogic.gdx.maps.tiled.renderers.BatchTiledMapRenderer#batch:field	var _batch	_batch
FieldName	com.badlogic.gdx.maps.tiled.renderers.BatchTiledMapRenderer#map:field	var _map	_map
FieldName	com.badlogic.gdx.maps.tiled.renderers.BatchTiledMapRenderer#unitScale:field	var _unitScale	_unitScale
FieldName	com.badlogic.gdx.maps.tiled.renderers.BatchTiledMapRenderer#viewBounds:field	val _viewBounds	_viewBounds
FieldName	com.badlogic.gdx.scenes.scene2d.Actor#height:field	var _height	_height
FieldName	com.badlogic.gdx.scenes.scene2d.Actor#parent:field	var _parent	_parent
FieldName	com.badlogic.gdx.scenes.scene2d.Actor#rotation:field	var _rotation	_rotation
FieldName	com.badlogic.gdx.scenes.scene2d.Actor#scaleX:field	var _scaleX	_scaleX
FieldName	com.badlogic.gdx.scenes.scene2d.Actor#scaleY:field	var _scaleY	_scaleY
FieldName	com.badlogic.gdx.scenes.scene2d.Actor#stage:field	var _stage	_stage
FieldName	com.badlogic.gdx.scenes.scene2d.Actor#width:field	var _width	_width
FieldName	com.badlogic.gdx.scenes.scene2d.Actor#x:field	var _x	_x
FieldName	com.badlogic.gdx.scenes.scene2d.Actor#y:field	var _y	_y
FieldName	com.badlogic.gdx.scenes.scene2d.ui.Button#isDisabled:field	var _isDisabled	_isDisabled
FieldName	com.badlogic.gdx.scenes.scene2d.ui.Cell#expandX:field	var _expandX	_expandX
FieldName	com.badlogic.gdx.scenes.scene2d.ui.Cell#expandY:field	var _expandY	_expandY
FieldName	com.badlogic.gdx.scenes.scene2d.ui.Cell#fillX:field	var _fillX	_fillX
FieldName	com.badlogic.gdx.scenes.scene2d.ui.Cell#fillY:field	var _fillY	_fillY
FieldName	com.badlogic.gdx.scenes.scene2d.ui.Cell#row:field	var _row	_row
FieldName	com.badlogic.gdx.scenes.scene2d.ui.Cell#uniformX:field	var _uniformX	_uniformX
FieldName	com.badlogic.gdx.scenes.scene2d.ui.Cell#uniformY:field	var _uniformY	_uniformY
FieldName	com.badlogic.gdx.scenes.scene2d.ui.TextField#focusTraversal:field	var _focusTraversal	_focusTraversal
FieldName	com.badlogic.gdx.scenes.scene2d.ui.TextField#programmaticChangeEvents:field	var _programmaticChangeEvents	_programmaticChangeEvents
FieldName	com.badlogic.gdx.scenes.scene2d.ui.TextField#selectionStart:field	var _selectionStart	_selectionStart
FieldName	com.badlogic.gdx.scenes.scene2d.ui.TextField#style:field	var _style	_style
FieldName	com.badlogic.gdx.scenes.scene2d.ui.TextField#text:field	var _text	_text
FieldName	com.badlogic.gdx.scenes.scene2d.utils.Selection#isDisabled:field	var _isDisabled	_isDisabled
FieldName	com.badlogic.gdx.scenes.scene2d.utils.Selection#lastSelected:field	var _lastSelected	_lastSelected
KeepName	com.badlogic.gdx.Application#getPreferences	def getPreferences	
KeepName	com.badlogic.gdx.Files#getFileHandle	def getFileHandle	
KeepName	com.badlogic.gdx.Files#isExternalStorageAvailable	def isExternalStorageAvailable	
KeepName	com.badlogic.gdx.Files#isLocalStorageAvailable	def isLocalStorageAvailable	
KeepName	com.badlogic.gdx.Graphics#getDisplayMode(Monitor)	def getDisplayMode	
KeepName	com.badlogic.gdx.Graphics#getDisplayModes(Monitor)	def getDisplayModes	
KeepName	com.badlogic.gdx.Graphics#setContinuousRendering	def setContinuousRendering	
KeepName	com.badlogic.gdx.Graphics#setCursor	def setCursor	
KeepName	com.badlogic.gdx.Graphics#setForegroundFPS	def setForegroundFPS	
KeepName	com.badlogic.gdx.Graphics#setFullscreenMode	def setFullscreenMode	
KeepName	com.badlogic.gdx.Graphics#setResizable	def setResizable	
KeepName	com.badlogic.gdx.Graphics#setSystemCursor	def setSystemCursor	
KeepName	com.badlogic.gdx.Graphics#setTitle	def setTitle	
KeepName	com.badlogic.gdx.Graphics#setUndecorated	def setUndecorated	
KeepName	com.badlogic.gdx.Graphics#setVSync	def setVSync	
KeepName	com.badlogic.gdx.Graphics#setWindowedMode	def setWindowedMode	
KeepName	com.badlogic.gdx.Input#getRotationMatrix	def getRotationMatrix	
KeepName	com.badlogic.gdx.Input#getTextInput(TextInputListener,String,String,String)	def getTextInput	
KeepName	com.badlogic.gdx.Input#getTextInput(TextInputListener,String,String,String,OnscreenKeyboardType)	def getTextInput	
KeepName	com.badlogic.gdx.Input#isButtonJustPressed	def isButtonJustPressed	
KeepName	com.badlogic.gdx.Input#isButtonPressed	def isButtonPressed	
KeepName	com.badlogic.gdx.Input#isCatchKey	def isCatchKey	
KeepName	com.badlogic.gdx.Input#isKeyJustPressed	def isKeyJustPressed	
KeepName	com.badlogic.gdx.Input#isKeyPressed	def isKeyPressed	
KeepName	com.badlogic.gdx.Input#isPeripheralAvailable	def isPeripheralAvailable	
KeepName	com.badlogic.gdx.Input#isTouched(int)	def isTouched	
KeepName	com.badlogic.gdx.Input#setCatchKey	def setCatchKey	
KeepName	com.badlogic.gdx.Input#setCursorCatched	def setCursorCatched	
KeepName	com.badlogic.gdx.Input#setCursorPosition	def setCursorPosition	
KeepName	com.badlogic.gdx.Input#setInputProcessor	def setInputProcessor	
KeepName	com.badlogic.gdx.Input#setKeyboardHeightObserver	def setKeyboardHeightObserver	
KeepName	com.badlogic.gdx.Input#setOnscreenKeyboardVisible(boolean)	def setOnscreenKeyboardVisible	
KeepName	com.badlogic.gdx.Input#setOnscreenKeyboardVisible(boolean,OnscreenKeyboardType)	def setOnscreenKeyboardVisible	
KeepName	com.badlogic.gdx.Net$HttpResponse#getHeader	def getHeader	
KeepName	com.badlogic.gdx.Preferences#getBoolean(String)	def getBoolean	
KeepName	com.badlogic.gdx.Preferences#getBoolean(String,boolean)	def getBoolean	
KeepName	com.badlogic.gdx.Preferences#getFloat(String)	def getFloat	
KeepName	com.badlogic.gdx.Preferences#getFloat(String,float)	def getFloat	
KeepName	com.badlogic.gdx.Preferences#getInteger(String)	def getInteger	
KeepName	com.badlogic.gdx.Preferences#getInteger(String,int)	def getInteger	
KeepName	com.badlogic.gdx.Preferences#getLong(String)	def getLong	
KeepName	com.badlogic.gdx.Preferences#getLong(String,long)	def getLong	
KeepName	com.badlogic.gdx.Preferences#getString(String)	def getString	
KeepName	com.badlogic.gdx.Preferences#getString(String,String)	def getString	
KeepName	com.badlogic.gdx.Version#isHigher	def isHigher	
KeepName	com.badlogic.gdx.Version#isHigherEqual	def isHigherEqual	
KeepName	com.badlogic.gdx.Version#isLower	def isLower	
KeepName	com.badlogic.gdx.Version#isLowerEqual	def isLowerEqual	
KeepName	com.badlogic.gdx.assets.AssetManager#isFinished	def isFinished	
KeepName	com.badlogic.gdx.assets.AssetManager#isLoaded(AssetDescriptor)	def isLoaded	
KeepName	com.badlogic.gdx.assets.AssetManager#isLoaded(String)	def isLoaded	
KeepName	com.badlogic.gdx.assets.AssetManager#isLoaded(String,Class)	def isLoaded	
KeepName	com.badlogic.gdx.assets.AssetManager#setLoader(Class,AssetLoader)	def setLoader	
KeepName	com.badlogic.gdx.assets.AssetManager#setLoader(Class,String,AssetLoader)	def setLoader	
